"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SUNPHARMA","EQ","06-Jun-2019","        411.15","        411.25","        413.50","        402.60","        404.00","        404.15","        407.13","    3483633","          1418295297.85","      50842"
"SUNPHARMA","EQ","07-Jun-2019","        404.15","        405.00","        406.90","        395.10","        399.00","        399.25","        399.95","    4668474","          1867168031.50","      63580"
"SUNPHARMA","EQ","10-Jun-2019","        399.25","        402.00","        405.80","        394.05","        403.55","        402.05","        400.47","    4966075","          1988774431.80","      86051"
"SUNPHARMA","EQ","11-Jun-2019","        402.05","        396.00","        397.80","        384.00","        391.50","        389.95","        388.83","   13833555","          5378967851.10","     211702"
"SUNPHARMA","EQ","12-Jun-2019","        389.95","        391.00","        397.00","        385.25","        391.50","        391.40","        391.74","    7739283","          3031784679.05","      89095"
"SUNPHARMA","EQ","13-Jun-2019","        391.40","        391.00","        393.75","        385.40","        389.80","        389.75","        388.85","    4090663","          1590671215.40","      68453"
"SUNPHARMA","EQ","14-Jun-2019","        389.75","        390.00","        394.85","        376.55","        391.70","        392.55","        386.90","    9786375","          3786392032.45","     100560"
"SUNPHARMA","EQ","17-Jun-2019","        392.55","        391.70","        394.50","        379.85","        381.40","        382.90","        386.91","    6558933","          2537710887.10","      82184"
"SUNPHARMA","EQ","18-Jun-2019","        382.90","        381.40","        385.60","        374.30","        377.05","        378.45","        380.83","    3761637","          1432535570.40","      75409"
"SUNPHARMA","EQ","19-Jun-2019","        378.45","        380.00","        382.10","        368.15","        375.40","        375.20","        374.86","    7197444","          2698056827.25","      94873"
